time,total_free_energy,total_solute
0.1000000000,297.3021667033,20504.4690550905
0.3000000000,296.5474761153,20504.4690550971
0.7000000000,294.9200038992,20504.4690552284
1.5000000000,291.0891064558,20504.4690552295
3.1000000000,280.0508195829,20504.4690552291
4.7000000000,263.8842380529,20504.4690552317
6.3000000000,243.3175448021,20504.4690552247
7.9000000000,222.1139165938,20504.4690552205
9.5000000000,204.0133062333,20504.4690552214
12.7000000000,180.6144458263,20504.4690552221
14.3000000000,172.5496920586,20504.4690552221
17.5000000000,162.4008547151,20504.4690552439
19.1000000000,158.6721042066,20504.4690552437
22.3000000000,153.1225332070,20504.4690552495
23.9000000000,150.7901102676,20504.4690552495
27.1000000000,146.9455089893,20504.4690553152
33.5000000000,140.5997890198,20504.4690550314
36.7000000000,137.7892474294,20504.4690548900
43.1000000000,133.1337482172,20504.4690549002
46.3000000000,131.1521820223,20504.4690549005
52.7000000000,127.8969464869,20504.4690554871
59.1000000000,125.0981995656,20504.4690554640
62.3000000000,123.8315102148,20504.4690554647
68.7000000000,121.6559500303,20504.4690553810
81.5000000000,118.0942858888,20504.4690553826
87.9000000000,116.5536189429,20504.4690553834
91.1000000000,115.8490275919,20504.4690553834
97.5000000000,114.5966955181,20504.4690553359
110.3000000000,112.5069424172,20504.4690553363
116.7000000000,111.5707208327,20504.4690553349
129.5000000000,109.8903105287,20504.4690551260
155.1000000000,106.9837391216,20504.4690550576
167.9000000000,105.6670413882,20504.4690549666
193.5000000000,103.3307440847,20504.4690549763
206.3000000000,102.2605688633,20504.4690549604
231.9000000000,100.3385725442,20504.4690549641
244.7000000000,99.4510690044,20504.4690549587
270.3000000000,97.8390631815,20504.4690546958
321.5000000000,95.0185901020,20504.4690546792
347.1000000000,93.7175532821,20504.4690546607
372.7000000000,92.4611876777,20504.4690547238
423.9000000000,89.8496732208,20504.4690521390
449.5000000000,88.7426771520,20504.4690521190
500.7000000000,86.5444393425,20504.4690522460
513.5000000000,85.9672355181,20504.4690522728
539.1000000000,84.4365500972,20504.4690523136
551.9000000000,83.8817428573,20504.4690523149
564.7000000000,83.3617026286,20504.4690523457
590.3000000000,81.9730440167,20504.4690520607
603.1000000000,81.4697272267,20504.4690520512
628.7000000000,80.6085266304,20504.4690509369
641.5000000000,80.1744412491,20504.4690509222
654.3000000000,79.7061995395,20504.4690506317
679.9000000000,78.3802281124,20504.4690506423
692.7000000000,77.6745768761,20504.4690506460
699.1000000000,77.3887215041,20504.4690507230
711.9000000000,77.0119895674,20504.4690499603
737.5000000000,76.4401453662,20504.4690499512
788.7000000000,75.4182128908,20504.4690499508
814.3000000000,74.9252050484,20504.4690499460
865.5000000000,73.9671994347,20504.4690499474
891.1000000000,73.5001001714,20504.4690499364
942.3000000000,72.5850816937,20504.4690499387
967.9000000000,72.1357256543,20504.4690499232
1019.1000000000,71.2596058962,20504.4690499170
