time,total_free_energy,total_solute
0.0100000000,1.0000000000,9465.4833333334
0.0300000000,1.0000000000,9465.4833333334
0.0700000000,1.0000000000,9465.4833333334
0.1500000000,1.0000000000,9465.4833333334
0.3100000000,1.0000000000,9465.4833333334
0.6300000000,1.0000000000,9465.4833333334
1.2700000000,1.0000000000,9465.4833333334
2.5500000000,1.0000000000,9465.4833333334
5.1100000000,1.0000000000,9465.4833333334
10.2300000000,1.0000000000,9465.4833333334
15.3500000000,1.0000000000,9465.4833333334
20.4700000000,1.0000000000,9465.4833333334
23.0300000000,1.0000000000,9465.4833333334
24.3100000000,1.0000000000,9465.4833333334
25.5900000000,1.0000000000,9465.4833333334
