time,total_free_energy,total_solute
0.0100000000,182.5083000214,5004.5571145626
0.0300000000,182.5021876830,5004.5571145634
0.0700000000,182.4896432838,5004.5571145663
0.1500000000,182.4629712573,5004.5571145765
0.2300000000,182.4338113856,5004.5571146578
0.3100000000,182.4013216045,5004.5571146756
0.4700000000,182.3165143482,5004.5571146787
0.6300000000,182.1914079129,5004.5571146837
0.7100000000,182.1112775798,5004.5571146837
0.8700000000,181.8847368613,5004.5571146863
1.0300000000,181.5611408415,5004.5571146950
