time,total_free_energy,total_solute
0.1000000000,297.3021667039,20504.4690550831
0.3000000000,296.5474761163,20504.4690550995
0.7000000000,294.9200039169,20504.4690552861
1.5000000000,291.0891064753,20504.4690552861
3.1000000000,280.0508196056,20504.4690552863
4.7000000000,263.8842380771,20504.4690552855
6.3000000000,243.3175448269,20504.4690552758
7.9000000000,222.1139166211,20504.4690552634
9.5000000000,204.0133062651,20504.4690552661
12.7000000000,180.6144458672,20504.4690552664
14.3000000000,172.5496920952,20504.4690552662
17.5000000000,162.4008547272,20504.4690552757
19.1000000000,158.6721042103,20504.4690552757
22.3000000000,153.1225332085,20504.4690552175
23.9000000000,150.7901102712,20504.4690552174
27.1000000000,146.9455089974,20504.4690552024
33.5000000000,140.5997890331,20504.4690555177
36.7000000000,137.7892474549,20504.4690557721
43.1000000000,133.1337482384,20504.4690557682
46.3000000000,131.1521820393,20504.4690557694
52.7000000000,127.8969464986,20504.4690554277
59.1000000000,125.0981995776,20504.4690554146
62.3000000000,123.8315102255,20504.4690554057
68.7000000000,121.6559500386,20504.4690552317
81.5000000000,118.0942858931,20504.4690552315
87.9000000000,116.5536189455,20504.4690552315
91.1000000000,115.8490275938,20504.4690552316
97.5000000000,114.5966955181,20504.4690552604
110.3000000000,112.5069424171,20504.4690552581
116.7000000000,111.5707208326,20504.4690552569
129.5000000000,109.8903105266,20504.4690553170
155.1000000000,106.9837391204,20504.4690551616
167.9000000000,105.6670413866,20504.4690551538
193.5000000000,103.3307440828,20504.4690551347
206.3000000000,102.2605688609,20504.4690551292
231.9000000000,100.3385725407,20504.4690551185
244.7000000000,99.4510690003,20504.4690551143
270.3000000000,97.8390631791,20504.4690550245
321.5000000000,95.0185900981,20504.4690548035
347.1000000000,93.7175532770,20504.4690547543
372.7000000000,92.4611876654,20504.4690557283
423.9000000000,89.8496731984,20504.4690528538
449.5000000000,88.7426771333,20504.4690527999
500.7000000000,86.5444393183,20504.4690523995
513.5000000000,85.9672354845,20504.4690524523
539.1000000000,84.4365500805,20504.4690524419
551.9000000000,83.8817428494,20504.4690524400
564.7000000000,83.3617026224,20504.4690524456
590.3000000000,81.9730440131,20504.4690521833
603.1000000000,81.4697272246,20504.4690521777
628.7000000000,80.6085266180,20504.4690520339
641.5000000000,80.1744412373,20504.4690520129
654.3000000000,79.7061995318,20504.4690517478
679.9000000000,78.3802280634,20504.4690518595
692.7000000000,77.6745768074,20504.4690518538
699.1000000000,77.3887214647,20504.4690519392
711.9000000000,77.0119895599,20504.4690502317
737.5000000000,76.4401453586,20504.4690502305
788.7000000000,75.4182128827,20504.4690502329
814.3000000000,74.9252050401,20504.4690502240
865.5000000000,73.9671994260,20504.4690502239
891.1000000000,73.5001001627,20504.4690502092
942.3000000000,72.5850816846,20504.4690502113
967.9000000000,72.1357256450,20504.4690501894
1019.1000000000,71.2596058868,20504.4690501825
